iter	RMSE
0	11.64377718
1	11.44389293
2	11.27078235
3	11.1072474
4	10.95219254
5	10.79088394
6	10.66352648
7	10.50933135
8	10.3650277
9	10.22283608
10	10.10349005
11	9.948844055
12	9.820573156
13	9.706431494
14	9.623217907
15	9.546452949
16	9.436822878
17	9.338803589
18	9.225048653
19	9.143339748
20	9.034868526
21	8.953197046
22	8.870086509
23	8.78359076
24	8.703244302
25	8.613676306
26	8.52896349
27	8.453724556
28	8.370357651
29	8.30596999
30	8.242779396
31	8.155794582
32	8.073961088
33	7.998482137
34	7.932525652
35	7.868216285
36	7.808217831
37	7.741276998
38	7.683714843
39	7.629711538
40	7.579999527
41	7.529415108
42	7.463647477
43	7.419959576
44	7.367280535
45	7.319855508
46	7.263983879
47	7.220682857
48	7.176195107
49	7.129740717
50	7.095719292
51	7.05400636
52	7.012198773
53	6.96989061
54	6.922084809
55	6.88374982
56	6.857575542
57	6.811075971
58	6.770190352
59	6.727191251
60	6.697443551
61	6.65659193
62	6.620573099
63	6.582544794
64	6.551087745
65	6.523637843
66	6.495094871
67	6.462465041
68	6.421023768
69	6.392448872
70	6.363727137
71	6.329416546
72	6.300285135
73	6.266135272
74	6.24382806
75	6.227053194
76	6.202603118
77	6.168607393
78	6.151929211
79	6.125671982
80	6.094896603
81	6.066639138
82	6.037141597
83	6.011816792
84	5.992016182
85	5.96802476
86	5.940999075
87	5.92297291
88	5.904284031
89	5.877511145
90	5.859046392
91	5.835149545
92	5.814484189
93	5.784738174
94	5.755862661
95	5.728442687
96	5.713756463
97	5.694789106
98	5.669552161
99	5.646814438
100	5.623772621
101	5.596863467
102	5.581790105
103	5.566939414
104	5.537806181
105	5.525014672
106	5.506277291
107	5.491247185
108	5.470066059
109	5.451800652
110	5.434414299
111	5.414118903
112	5.40158412
113	5.381545318
114	5.361825119
115	5.3418549
116	5.320726701
117	5.304762156
118	5.287084602
119	5.273220891
120	5.256392549
121	5.24261595
122	5.233395583
123	5.21920153
124	5.200245653
125	5.190675574
126	5.179541453
127	5.164752696
128	5.146635077
129	5.132136012
130	5.121670184
131	5.108077351
132	5.097435502
133	5.085655452
134	5.074752032
135	5.053548394
136	5.043970674
137	5.030770068
138	5.023743118
139	5.010929292
140	4.996134175
141	4.985632887
142	4.970025005
143	4.955172977
144	4.942364626
145	4.929496878
146	4.918087848
147	4.90712633
148	4.891394311
149	4.883977659
150	4.867921288
151	4.852155876
152	4.837354161
153	4.827728511
154	4.813443035
155	4.804901256
156	4.79963065
157	4.78796104
158	4.78159943
159	4.77363791
160	4.758703584
161	4.749296071
162	4.738686998
163	4.728339665
164	4.719966723
165	4.712719629
166	4.692914324
167	4.683526243
168	4.677202502
169	4.667621496
170	4.653234459
171	4.638350403
172	4.625530829
173	4.616780114
174	4.606630175
175	4.597391054
176	4.581376076
177	4.569303191
178	4.556085078
179	4.547870142
180	4.540818011
181	4.525373664
182	4.511942356
183	4.506691845
184	4.499676572
185	4.491632648
186	4.475731144
187	4.46661422
188	4.458078697
189	4.443851594
190	4.438712738
191	4.434371883
192	4.420010884
193	4.413079517
194	4.404412715
195	4.388678552
196	4.375294912
197	4.364603211
198	4.350848942
199	4.342402721
200	4.334426379
201	4.326533593
202	4.319070396
203	4.304448714
204	4.298065138
205	4.284385617
206	4.277582711
207	4.268717048
208	4.258742735
209	4.254078158
210	4.24680956
211	4.234132765
212	4.221131253
213	4.20992393
214	4.195493205
215	4.191089662
216	4.181865802
217	4.169731736
218	4.165526819
219	4.158078219
220	4.149642806
221	4.143398356
222	4.132670708
223	4.127594914
224	4.119372251
225	4.114779081
226	4.110391137
227	4.105884562
228	4.093992133
229	4.082266274
230	4.0696601
231	4.063440412
232	4.05668451
233	4.04805207
234	4.033683204
235	4.023588795
236	4.017554928
237	4.011620822
238	4.002928898
239	3.988903697
240	3.985753278
241	3.978982167
242	3.97437727
243	3.968841922
244	3.959938443
245	3.954136524
246	3.950615389
247	3.946152723
248	3.93933316
249	3.93379506
250	3.926910639
251	3.922518303
252	3.91706226
253	3.911571822
254	3.907701053
255	3.903484958
256	3.895581509
257	3.887025644
258	3.883078255
259	3.878527639
260	3.870716381
261	3.866210234
262	3.863143629
263	3.859224068
264	3.852585513
265	3.843755044
266	3.838922818
267	3.827871079
268	3.821088754
269	3.81649775
270	3.808491155
271	3.803471959
272	3.797083531
273	3.788430934
274	3.777623266
275	3.773928017
276	3.77080028
277	3.766287705
278	3.762807315
279	3.746702137
280	3.739704341
281	3.735265391
282	3.730832873
283	3.725900874
284	3.721583553
285	3.711247371
286	3.706805674
287	3.704307113
288	3.695653344
289	3.6929958
290	3.689097225
291	3.678813778
292	3.675827669
293	3.671008648
294	3.66015541
295	3.652200919
296	3.649302993
297	3.638346265
298	3.633194617
299	3.62881285
300	3.620839733
301	3.615626636
302	3.611808856
303	3.60794634
304	3.601578258
305	3.590296246
306	3.585087347
307	3.579759888
308	3.574205369
309	3.569466838
310	3.567782744
311	3.562570194
312	3.553650034
313	3.545777205
314	3.540900065
315	3.528174104
316	3.523248491
317	3.51353348
318	3.507189419
319	3.506841183
320	3.500367894
321	3.497689401
322	3.48848222
323	3.482695557
324	3.478275349
325	3.477862504
326	3.473592789
327	3.466531698
328	3.459546911
329	3.456015738
330	3.449152376
331	3.441057776
332	3.43787575
333	3.427943891
334	3.419616841
335	3.415062304
336	3.411559066
337	3.403007164
338	3.402698305
339	3.395782073
340	3.391900975
341	3.384789943
342	3.381057623
343	3.374193572
344	3.366245233
345	3.361499506
346	3.352802848
347	3.346311142
348	3.336905827
349	3.332223682
350	3.331086341
351	3.328257413
352	3.320874875
353	3.316806069
354	3.313131808
355	3.302273262
356	3.298828744
357	3.294185345
358	3.293927763
359	3.284894578
360	3.280056816
361	3.273189922
362	3.272992593
363	3.265888664
364	3.26394427
365	3.257942942
366	3.256071173
367	3.248519686
368	3.242446038
369	3.242209461
370	3.233775478
371	3.23011254
372	3.222220341
373	3.216744542
374	3.213384328
375	3.204270143
376	3.20410529
377	3.199380525
378	3.199087614
379	3.194161398
380	3.186636161
381	3.18434931
382	3.18397658
383	3.183576043
384	3.176728391
385	3.175453295
386	3.169714586
387	3.166729005
388	3.165631178
389	3.158948832
390	3.152887184
391	3.147917569
392	3.145406456
393	3.142921946
394	3.1385716
395	3.130859508
396	3.128840551
